15000,[57389.4277106033,58110.53417,65590.89651,61840.67645,61402.98943,64723.77147,65250.44554,56291.41508,61764.71802,62241.52629,65353.47302,58534.90739,58887.53063,58646.87702,56404.66219,62137.93441,70552.90823,63795.16831,63140.29341,64838.17782,70191.43134,71202.36777,72594.18831,73998.50172,59140.14642,62852.86342,93352.38828,83739.76198,75143.93003,77846.71894,73091.34421,76350.49526,84640.0162,82297.45302,65655.40904,76298.13449,72429.62624,72821.23662,89979.0462,84886.05636,89708.86261,86034.46951,93711.38143,80906.91029,78205.56894,74971.58812,79287.70609,72238.22799,72567.2412,69318.46219,63558.45398,57197.9299,58859.49553,60753.51214,60088.36382,68996.56695,63003.73595,64969.84236,64673.62284,64908.01478,58185.3547,57926.59783,56272.03826,54110.50076,49073.66755,53628.51462,44931.42678,45378.90708,49732.95627,50086.75787,50611.4388,51059.52575,49875.09936,45779.74591,43538.42768,44084.16792,32048.05332,32485.92627,32645.95847,32127.42554,32348.64803,44078.24153,44392.31893,44938.98417,45221.91865,45466.2741,52139.50082,51774.05765,54385.0872,54474.30299,54576.50735,57768.09004,57694.07446,57680.01895,58115.78396,57853.89542,53254.80579,52928.57437,52786.54615,52412.83097, 52024.7273522248]
300,[44869.98342735847,42489.69576,45279.69461,48611.85167,49715.16254,47122.76029,45424.96539,35979.60321,43431.80723,44857.91465,44376.51346,40285.27082,36821.99539,39266.46396,41137.60086,44894.70958,51046.14154,44753.35842,45705.8024,44357.6512,43820.52127,42233.98948,41758.49338,41374.27242,31070.67271,33468.12725,42750.03937,37137.12466,32022.56903,33676.09724,34327.09413,38887.97621,41479.60684,33131.6057,21905.38233,33281.50223,29847.81132,31642.52806,54039.36789,42425.99637,44449.49723,41267.14087,22584.86464,19425.21916,18230.86314,13874.43384,12670.26099,10676.95307,8841.047073,8717.881642,7702.573274,11470.72285,10616.26894,29873.56352,29998.64211,38256.33824,42978.29051,46357.86301,33473.16329,33459.9859,30841.29344,33102.18077,31602.10883,28354.32034,23299.86113,24502.61461,20080.59516,19235.2579,21874.17028,21299.79732,22198.55939,22579.50711,21880.47406,18913.30901,18570.84949,18815.47436,13599.88799,12880.90527,12837.43857,13119.73733,13311.25641,19217.70261,19468.05233,19977.06428,20469.34413,21432.07229,22222.81922,22354.42501,27011.48583,26870.72489,25977.62045,28661.08063,27819.25632,26146.67544,25313.79546,24751.78494,21049.56423,20562.92091,20433.57383,18994.21073, 18981.486300973076]
200,[40682.89242762115,39625.379,41672.51317,44799.31437,45619.58041,41993.24839,41080.0667,32400.81688,38765.93887,38754.05289,39717.76858,36427.84169,33139.38708,34142.97059,35564.23751,39085.9301,43267.39051,38646.70143,40962.4709,37694.51626,36379.01377,35747.82177,35927.34171,35213.43178,24345.17201,28148.74143,33951.02604,28146.56154,26444.33891,26252.28984,26516.95799,29015.85625,32259.52395,25932.5991,16701.35308,25496.45454,22271.64065,22261.1637,37260.42617,32070.07123,32367.78773,28601.15324,13230.53069,13563.0301,10843.76993,7174.952664,6170.967828,4850.084615,4653.484172,3533.647524,2077.657138,7424.242303,7561.775634,26658.51469,27354.30734,33902.09265,36829.27464,40014.35025,27721.00862,27104.50123,25019.23601,25445.75699,24781.64983,22886.44488,20106.54443,20293.56794,14889.48217,14015.95195,16403.58559,16083.8295,16581.52005,16207.16833,15576.75603,13208.72618,13253.91638,13114.95681,10785.24971,10797.59416,10548.17261,10548.86087,10758.47749,15698.6612,16052.66721,16980.33651,17592.98308,18235.73339,18763.86482,18448.14787,21691.59039,20533.75728,20297.98437,22103.02203,21833.25133,20181.83337,20383.1772,20304.05033,16794.50526,16011.20476,14727.35131,15171.24848, 14885.435846112769]
150,[37255.807719430886,36032.52226,38050.55909,40293.41919,41561.85215,36218.52293,36538.37648,29876.32161,35550.50772,35097.73784,36295.81441,33435.10559,30532.88413,30158.75468,31970.04279,33826.2682,37932.33893,33445.07915,36842.64505,33221.27889,30981.99524,30943.80782,30989.67051,30044.63258,21227.4561,24222.7834,25478.07122,22132.23088,17006.06496,18693.17192,18993.50241,19548.28994,24691.66427,17975.16372,13326.69011,21003.76695,16462.99462,16169.38237,23682.28269,22197.60061,20729.58277,17974.64098,9086.523981,10450.88949,8713.383214,5385.545746,4694.819798,3475.143833,3300.501177,1440.215489,908.4475733,5205.342788,4896.054781,22193.06014,23524.90387,29903.18707,30441.85446,33257.84524,23300.61365,23495.1514,20731.73208,20495.31005,21090.90563,19254.22153,18040.37261,17649.66476,12036.4691,11391.15122,13531.62945,13457.34154,13534.30977,12425.56558,11907.35226,10136.04436,9991.050774,9884.686638,9025.07157,8142.047538,8684.288069,9154.856842,8665.463224,13123.54703,13805.0967,14680.59335,14754.82398,15528.18834,14685.3246,14425.74563,16592.41087,16421.64716,15510.64775,18305.30524,17374.18096,16074.98545,16689.70935,15909.2249,13512.64833,12971.26258,11966.67849,12070.22665, 11783.451651374105]
100,[30665.498585895493,30587.2446,31068.93489,31539.24736,32926.14537,27761.57768,29306.59973,24116.77491,27222.7929,28179.42707,30520.37519,28875.47393,25832.628,25186.22574,26053.10477,26338.53905,29792.44178,25841.50246,29582.23464,26706.06442,23212.51879,24189.93929,23555.5103,22636.73584,17313.49621,19473.75431,16249.83803,14943.4716,9891.658767,10283.1006,11158.83876,11804.81198,14711.15276,10816.72348,7950.057926,14732.98941,10017.56756,10062.29894,11580.75585,12509.07721,11091.87677,7311.356799,5148.862294,7493.96695,6009.217498,3569.231211,3557.162,2596.316855,2369.519862,371.7037116,32.83908075,3384.697682,3394.822821,12797.96958,15533.47619,19867.32638,21731.24296,24358.38573,16921.58866,17498.16868,15127.62028,13661.95096,14957.66623,13197.54658,13542.90848,13153.14962,9052.318931,8688.253303,10075.29738,9951.111124,10535.88105,7797.449315,7811.456171,6657.403513,6333.51101,6932.804458,6981.030602,6214.03717,5979.444229,6596.727502,6654.477749,9994.54692,10293.80127,10404.85781,11163.03284,12155.99246,10504.21032,10628.64616,12456.40961,11886.78942,11385.41872,13481.11931,11589.74053,9788.156215,10594.89319,10869.01913,10224.90047,8663.745361,8527.920087,8863.514095, 8695.704190538045]
ocean,[20133.61999117241,22078.01191,27540.33742,21547.25726,19841.13728,28505.24855,28712.06906,26415.09347,26214.2103,27143.78845,29057.65861,25099.8018,28354.6465,28488.12234,24434.6194,28311.6662,32620.5693,30350.08916,26297.64836,31616.89893,39209.4361,40258.55995,41604.5178,43953.86914,37912.69032,38630.08001,67874.31706,61607.5311,58137.86507,59153.54701,54097.8418,56802.20531,59948.35193,64322.2893,52328.71892,55294.36754,55966.63162,56651.85425,66296.76351,62688.45575,68979.27984,68059.82853,84624.85745,70456.0208,69492.18573,69586.04238,74592.88629,68763.08416,69266.74002,67878.2467,62650.00641,51992.58711,53963.44075,38560.452,36563.45996,39093.37989,32561.88149,31711.99712,41373.0092,41412.86338,37453.62262,37431.28778,35181.13263,34856.27923,31033.29493,35978.84986,32894.95769,33987.75585,36201.32683,36629.41633,37077.12903,38633.96017,37967.7471,35643.70155,33547.3769,34199.48128,23022.98175,24343.87873,23961.6704,22972.56869,23683.18481,30954.6945,30587.22223,30258.39082,30467.09467,29938.08575,37454.17622,37348.31202,37792.67633,38052.65583,39065.8596,39462.78479,40319.8935,41605.0335,41426.07461,41944.67052,39742.15746,39957.3118,40819.86765,40342.60432, 40241.275700850696]
